rps,leastlatency,leastlatencyp2c,leastrif,leastrifp2c,prequal,random,roundrobin
800,12524.037745,14653.56369,12286.194388,13896.759525,13757.852804,13721.227042,15221.20101
1000,18007.510817,19799.277833,18135.677836,20567.628279,20610.401541,20301.044611,21164.953807
1200,26164.749291,25030.751074,24695.858081,27098.236717,25395.726437,25348.484847,26182.153362
1400,30000.074722,30000.121474,30000.085008,30000.129288,30000.079367,29954.025191,30000.117685
1600,30000.116855,30000.119582,30000.115519,30000.115337,30000.112207,30000.115222,30000.117935
