rps,leastlatency,leastlatencyp2c,leastrif,leastrifp2c,prequal,random,roundrobin
800,1,0.9905,1,0.99025,1,0.9895,0.99
1000,1,0.9948,1,0.9888,1,0.9936,1
1200,0.9676666666666667,0.9533022014676451,1,0.9341666666666667,1,0.9963333333333333,0.9991666666666666
1400,0.47114285714285714,0.34177034177034177,0.46285714285714286,0.2522857142857143,0.4685714285714286,0.5135714285714286,0.35942857142857143
1600,0.210375,0.18832226538027816,0.2285,0.157875,0.20655163790947736,0.21240529086939772,0.1866095069978565
