rps,leastlatency,leastlatencyp2c,leastrif,leastrifp2c,prequal,random,roundrobin
800,14698.873292,19512.224125,14596.71425,18452.894792,14562.654208,18759.85025,20132.276167
1000,20879.05525,25743.503625,21208.766417,26461.331833,21992.755791,26407.547416,22514.236583
1200,30001.177,30002.822708,29168.992583,30003.69025,27423.017541,29436.901583,28745.522333
1400,30002.290792,30001.411,30003.122166,30002.634167,30001.848708,30002.443,30002.963417
1600,30002.135125,30003.743084,30004.202458,30011.261417,30002.160042,30002.593917,30003.480125
