rps,leastlatency,leastlatencyp2c,leastrif,leastrifp2c,prequal,random,roundrobin
800,0,2,0,2,0,2,2
1000,0,2,0,2,0,2,0
1200,1,4,0,1,0,1,2
1400,1,1,1,1,1,1,3
1600,1,4,1,1,3,4,4
