rps,leastlatency,leastlatencyp2c,leastrif,leastrifp2c,prequal,random,roundrobin
800,10857.246322,12262.035331,10719.056811,11709.156546,11589.727351,11607.501403,12753.131915
1000,15911.729901,17176.99829,16034.622074,18191.452328,18198.867944,17692.404224,18546.337954
1200,24045.235984,21883.477663,22454.554939,24986.751827,22974.502033,22806.428221,23522.123973
1400,26356.284405,26846.588864,26270.321149,28106.264049,26847.712915,26604.709539,26852.248811
1600,27901.232646,27804.910477,27843.411343,28122.977252,27376.711915,25089.776742,25620.707327
