rps,leastlatency,leastlatencyp2c,leastrif,leastrifp2c,prequal,random,roundrobin
800,14444.331315,15000.709734,14327.397244,14524.049421,14478.948325,14406.728067,15527.313616
1000,20554.101412,20798.040512,20858.555835,22035.990605,21596.075494,21493.36366,22192.587844
1200,29705.829027,27306.191966,28587.022365,30000.12858,27041.559039,27474.933288,28179.493418
1400,30000.256962,30000.341766,30000.269439,30000.405984,30000.254231,30000.302295,30000.339209
1600,30000.458572,30000.472352,30000.45359,30000.544765,30000.438697,30000.377835,30000.445849
