rps,leastlatency,leastlatencyp2c,leastrif,leastrifp2c,prequal,random,roundrobin
800,203.66683768465796,197.60550867507948,204.23375770966453,202.53619960660885,204.51495350019604,203.58547647044304,192.6987224564185
1000,193.3048784446467,191.33005707675292,190.79099925908224,181.93984332938848,186.9326224012433,186.41888544244657,182.76055950832782
1200,166.408452367886,176.88695073872094,175.61513762899196,160.14539334714925,186.08632881684503,183.0666897492224,179.2724299416123
1400,94.23032063409023,68.29671168175679,92.57307251314465,50.458139525056346,93.71601399556221,102.71611039261819,71.88691933230479
1600,48.08648223782682,43.0087295182003,52.229448945989056,36.08624638669657,47.36391093331232,47.910941671039836,42.29122860880457
