rps,leastlatency,leastlatencyp2c,leastrif,leastrifp2c,prequal,random,roundrobin
800,4000,4000,4000,4000,4000,4000,4000
1000,5000,5000,5000,5000,5000,5000,5000
1200,6000,5996,6000,6000,6000,6000,6000
1400,7000,6993,7000,7000,7000,7000,7000
1600,8000,7981,8000,8000,7998,7787,7931
