rps,leastlatency,leastlatencyp2c,leastrif,leastrifp2c,prequal,random,roundrobin
800,14587.83015,15065.661905,14468.621264,14567.978788,14532.253374,14439.339886,15634.304437
1000,20770.453417,21005.30134,21085.595823,22124.282103,21794.417682,21617.681183,22350.017341
1200,30000.14583,27436.687797,28985.434339,30000.370207,27209.508574,27612.183898,28442.114482
1400,30000.486126,30000.598248,30000.51584,30000.956854,30000.505858,30000.605144,30000.660916
1600,30000.824935,30000.960743,30000.783161,30001.314266,30000.749883,30000.717797,30000.958332
